100
['1001', '1002', '1003', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1011', '1012', '1013', '1014', '1015', '1016', '1017', '1018', '1019', '1020', '1021', '1022', '1023', '1024', '1025', '1026', '1027', '1028', '1029', '1030', '1031', '1032', '1033', '1034', '1035', '1036', '1037', '1038', '1039', '1040', '1041', '1042', '1043', '1044', '1045', '1046', '1047', '1048', '1049', '1050', '1051', '1052', '1053', '1054', '1055', '1056', '1057', '1058', '1059', '1060', '1061', '1062', '1063', '1064', '1065', '1066', '1067', '1068', '1069', '1070', '1071', '1072', '1073', '1074', '1075', '1076', '1077', '1078', '1079', '1080', '1081', '1082', '1083', '1084', '1085', '1086', '1087', '1088', '1089', '1090', '1091', '1092', '1093', '1094', '1095', '1096', '1097', '1098', '1099', '1100']
1085=>[HU: f_id=X9G-10227.03.2290010406, hw_v=H14, l_num=1085, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284852, sw_v=0421]
1089=>[HU: f_id=X9G-10227.03.2290010412, hw_v=H14, l_num=1089, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284868, sw_v=0421]
1053=>[HU: f_id=X9G-10227.03.2290010375, hw_v=H14, l_num=1053, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284754, sw_v=0421]
1077=>[HU: f_id=X9G-10227.03.2290010444, hw_v=H14, l_num=1077, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284960, sw_v=0421]
1021=>[HU: f_id=X9G-10227.03.2290010392, hw_v=H14, l_num=1021, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284802, sw_v=0421]
1057=>[HU: f_id=X9G-10227.03.2290010369, hw_v=H14, l_num=1057, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284736, sw_v=0421]
1001=>[HU: f_id=X9G-10227.03.2290010422, hw_v=H14, l_num=1001, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284896, sw_v=0421]
1025=>[HU: f_id=X9G-10227.03.2290010398, hw_v=H14, l_num=1025, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284826, sw_v=0421]
1049=>[HU: f_id=X9G-10227.03.2290010448, hw_v=H14, l_num=1049, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284969, sw_v=0421]
1090=>[HU: f_id=X9G-10227.03.2290010413, hw_v=H14, l_num=1090, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284871, sw_v=0421]
1070=>[HU: f_id=X9G-10227.03.2290010434, hw_v=H14, l_num=1070, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284932, sw_v=0421]
1029=>[HU: f_id=X9G-10227.03.2290010393, hw_v=H14, l_num=1029, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284806, sw_v=0421]
1094=>[HU: f_id=X9G-10227.03.2290010463, hw_v=H14, l_num=1094, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0285009, sw_v=0421]
1062=>[HU: f_id=X9G-10227.03.2290010428, hw_v=H14, l_num=1062, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284916, sw_v=0421]
1098=>[HU: f_id=X9G-10227.03.2290010458, hw_v=H14, l_num=1098, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284993, sw_v=0421]
